"Id","ChannelUrl","Name","SubscriberCount","ViewCount","MedianViewCountDay7","HighestViewCountDay7","HighestViewVideoUrlDay7","HighestViewVideoTitleDay7","HighestViewVideoThumbnailDay7","HighestSingingViewCountDay7","HighestViewSingingVideoUrlDay7","HighestViewSingingVideoTitleDay7","HighestViewSingingVideoThumbnailDay7","MedianViewCountDay30","HighestViewCountDay30","HighestViewVideoUrlDay30","HighestViewVideoTitleDay30","HighestViewVideoThumbnailDay30","HighestSingingViewCountDay30","HighestViewSingingVideoUrlDay30","HighestViewSingingVideoTitleDay30","HighestViewSingingVideoThumbnailDay30"
"5","https://www.youtube.com/channel/UCSnJ7To9jR42Xx3Puf1Ar6Q","Ness9s奈斯糖","10900","0","147","147","http://youtu.be/vr0TX992dv8","《勝利女神：妮姬 NIKKE》#03 抽米卡！究竟幾抽才能畢業呢？也來玩玩去年的聖誕劇情吧！居然超催淚？！｜Ness9s奈斯糖","https://i.ytimg.com/vi/vr0TX992dv8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB8wsFWiR2MDKlnAhEIngQYxdzCEQ","0","","","","284","365","http://youtu.be/If0A3Yp2L0U","【官方精華】男生不要看！兩個女生玩遊戲居然在聊這種話題？！｜Ness9s奈斯糖","https://i.ytimg.com/vi/If0A3Yp2L0U/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBKf60z0QbzvXTsI7eVhrHxuUKCTw","0","","",""
"26","https://www.youtube.com/channel/UCjv4bfP_67WLuPheS-Z8Ekg","浠","187000","0","3447","11390","http://youtu.be/BGpCCNolMAA","【縦型歌枠】学校早めに終わったので歌うぞ🎤提早放學了好耶！唱歌！初見さん大歓迎🎵【浠Mizuki Karaoke】#shorts #歌枠 #Vsinger #Karaokestream","https://i.ytimg.com/vi/BGpCCNolMAA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCB17ZzVZsNNws6heZe7uTKTKWNNw","11390","http://youtu.be/BGpCCNolMAA","【縦型歌枠】学校早めに終わったので歌うぞ🎤提早放學了好耶！唱歌！初見さん大歓迎🎵【浠Mizuki Karaoke】#shorts #歌枠 #Vsinger #Karaokestream","https://i.ytimg.com/vi/BGpCCNolMAA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCB17ZzVZsNNws6heZe7uTKTKWNNw","3537","68987","http://youtu.be/qTrXIFxRcx8","【百曲歌枠】募資成功大感謝🎤用100首歌的時間，能否到達你的宇宙🌎クラファン大成功ありがとう！百曲の時間であなたの宇宙まで飛ぶぞ🌟初見さん大歓迎🎵【浠Mizuki Karaoke】","https://i.ytimg.com/vi/qTrXIFxRcx8/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLA_up8qf0NKqJXVMS-b0V9Je-iqpg","68987","http://youtu.be/qTrXIFxRcx8","【百曲歌枠】募資成功大感謝🎤用100首歌的時間，能否到達你的宇宙🌎クラファン大成功ありがとう！百曲の時間であなたの宇宙まで飛ぶぞ🌟初見さん大歓迎🎵【浠Mizuki Karaoke】","https://i.ytimg.com/vi/qTrXIFxRcx8/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLA_up8qf0NKqJXVMS-b0V9Je-iqpg"
"43","https://www.youtube.com/channel/UCKe1Q0YIwT-hzrZs_uxGb2g","稻乙緹","53500","0","5935","20534","http://youtu.be/ontqSIbeFAI","新暴徒居然有d.va配色！直接買爆！ | 特戰英豪","https://i.ytimg.com/vi/ontqSIbeFAI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCj_Ihr9d--OZ8FXEhmr3vnhg15xg","0","","","","3535","33802","http://youtu.be/6Qz7SJfvauk","內 有 騷 狐 | 稻乙緹","https://i.ytimg.com/vi/6Qz7SJfvauk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBBjod1KJacSXwifFXL2XzyYaFznw","0","","",""
"44","https://www.youtube.com/channel/UCltL6Tvv1aKrrYt4tnkmNtw","帕豹","53400","0","3428","14370","http://youtu.be/EtLMK7nNImU","帕豹教你如何把自己處理乾淨 成為一個乾淨衛生好寶寶 #vtuber #vtuber中文 #帕豹pabo #台灣vtuber #vtuber精華 #vtuberclip","https://i.ytimg.com/vi/EtLMK7nNImU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBgUJpinBvu6GH3ChEZcn9Z6pbMnQ","3428","http://youtu.be/Tw72iUCl7xk","【歌回】又是一個唱歌的好日子 ♡  嗷嗚~ #vtuber","https://i.ytimg.com/vi/Tw72iUCl7xk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCgqsQDJ3OzJywIcC-Te2V1paBnqg","4072","14599","http://youtu.be/aS1YSGmRhy4","【這是酷酷的飛機杯】新兵還沒好好用過嗎?  ♡  嗷嗚~ #vtuber #情趣夢天堂","https://i.ytimg.com/vi/aS1YSGmRhy4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBjMS6rY6ZxQdhLsXd63h0aVLKdbw","3428","http://youtu.be/Tw72iUCl7xk","【歌回】又是一個唱歌的好日子 ♡  嗷嗚~ #vtuber","https://i.ytimg.com/vi/Tw72iUCl7xk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCgqsQDJ3OzJywIcC-Te2V1paBnqg"
"47","https://www.youtube.com/channel/UC_KEI-aB1kt0qHnVC2xuX8g","極彩天繪","2140","0","61","77","http://youtu.be/uQAMyQ_6HC8","【開箱】#DAY13  主打一個 開完禮物 再想要幹嘛【極彩天繪】","https://i.ytimg.com/vi/uQAMyQ_6HC8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAjSjXQot6RvghjH0erfU1eJxP4XA","0","","","","80","216","http://youtu.be/aiSatU7XS3g","【工作台】畢製人 奔跑中【極彩天繪】","https://i.ytimg.com/vi/aiSatU7XS3g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBDgZuZcKzzYM9zNUNromA9AM6wOA","173","http://youtu.be/dLSr6dFCk0E","【歌回】唱一下 快樂亂唱【極彩天繪】","https://i.ytimg.com/vi/dLSr6dFCk0E/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAzuNfTx52Lh69s0wLW8fAnl8s6IQ"
"54","https://www.youtube.com/channel/UC8FQ_7amNGvt6sMIfGGVECQ","鐵匠B.S.","1330","0","41","58","http://youtu.be/1mzfQlq_jjI","【佼兔3 Cooked！】混進大廚兔堆中的我，究竟能躺到甚麼地步呢？！(OverCooked2 聯動)【鐵匠｜貓貓匠 Vtuber】","https://i.ytimg.com/vi/1mzfQlq_jjI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBNNKEltXTCYBuv_7BXy_lntPN_wg","0","","","","33","105","http://youtu.be/Nm5jpJfD6vY","【繪茶】可以一起進來畫畫！【貓貓匠｜鐵匠 Vtuber】","https://i.ytimg.com/vi/Nm5jpJfD6vY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC0_UikAz-y-ZUsnbUA241EylTlGw","20","http://youtu.be/0MJaqMdNfEg","【歌回】一小時限定清唱歌回!!【貓貓匠 | Vtuber】","https://i.ytimg.com/vi/0MJaqMdNfEg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLACsqTNScFF6_J4cnUgPuIiX9edig"
"60","https://www.youtube.com/channel/UCdekm6MVTBWof6u0vkQwyPA","紅梅","1370","0","115","115","http://youtu.be/rq6610_A0rc","【🏵你不睡】年末就要開始大掃除了，一起安排周表！【紅梅】","https://i.ytimg.com/vi/rq6610_A0rc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCGnoySHLTCOpZ7SBz7Wjcg8-x6Rg","0","","","","90","227","http://youtu.be/Nic5NgRdD_4","鬧鬼學校就會在廁所發生點什麼ft.笠真守【20230802紅梅精華】","https://i.ytimg.com/vi/Nic5NgRdD_4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDQ7LdvuKZkhuodCuUW_G7aljxatA","0","","",""
"67","https://www.youtube.com/channel/UC_wZTg59Tq6GqyPnFe_ICjQ","千草まる","1350","0","0","0","","","","0","","","","39","212","http://youtu.be/gzFQKAjjjLw","【Never Breakup：永不分手】開啟新遊戲！我們被綁再一起啦XD ft.青羽ミ【千草まる​】","https://i.ytimg.com/vi/gzFQKAjjjLw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCl4u38F16NHdGVp-f9qcEef1SMEg","0","","",""
"68","https://www.youtube.com/channel/UClCygZk-T8H-Q2w-LDHlxQw","焦兒","12400","0","1009","1009","http://youtu.be/byxNog9bfpk","進擊的巨人OST Dead on Arrival DOA 爵士鼓 Drum Cover","https://i.ytimg.com/vi/byxNog9bfpk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLArH0hliD4_KO30C7C590hGoxL-ow","0","","","","904","10806","http://youtu.be/Wa0ign0PCGA","親姊姊亂入弟弟的直播，觀眾全部轉為姊粉？","https://i.ytimg.com/vi/Wa0ign0PCGA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBdBquArGFX35R5KPIrsIeQJAw_Ww","0","","",""
"70","https://www.youtube.com/channel/UC6oqmpqc_WhQ6XrD4E28V_w","鮭魚","249","0","0","0","","","","0","","","","17","70","http://youtu.be/Gqm0Q8ppjhE","【雜談】以下開放雜談標題【鮭魚Shamon 】","https://i.ytimg.com/vi/Gqm0Q8ppjhE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCf4rZCTZM9YZxpOVK3w0S2V_axtg","0","","",""
