"Id","ChannelUrl","Name","SubscriberCount","ViewCount","MedianViewCountDay7","HighestViewCountDay7","HighestViewVideoUrlDay7","HighestViewVideoTitleDay7","HighestViewVideoThumbnailDay7","MedianViewCountDay30","HighestViewCountDay30","HighestViewVideoUrlDay30","HighestViewVideoTitleDay30","HighestViewVideoThumbnailDay30"
"1","https://www.youtube.com/channel/UCQIBc6-tniGo9h9l4XnEJ1A","舞鎌冬","1550","39391","267","271","http://youtu.be/KM9dYM-qEYM","【歌回】變聲歌回|破壞聲帶ing 用奇怪的聲音唱大家都知道的歌","https://i.ytimg.com/vi/KM9dYM-qEYM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBvwT0KKeWxZm8m3YEl7xJi96ThJA","157","1546","http://youtu.be/KiDkgj4fqCE","【繪圖】無畫面工作台|我要完蛋","https://i.ytimg.com/vi/KiDkgj4fqCE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDNo_LvAml_V1YpjTghekCaIG9dqQ"
"2","https://www.youtube.com/channel/UCne_buslU0bWWcAzdpKYJlA","千雪瑠璃","111","1192","0","0","","","","0","0","","",""
"3","https://www.youtube.com/channel/UCuAml87h_mOLRWwlzM3CLrg","神無月 柊","287","4570","0","0","","","","0","0","","",""
"4","https://www.youtube.com/channel/UCy3tjbhbQKeAExF6_qGZwyg","柴可","883","18689","166","474","http://youtu.be/84EkEHHlEUE","[#葛飾北柴]今晚來肝線搞~~童貞君來一起瑟瑟吧!![柴可CHAKO]","https://i.ytimg.com/vi/84EkEHHlEUE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBs95qbFBSIr2skDbEf-sQV2f36WA","194","474","http://youtu.be/84EkEHHlEUE","[#葛飾北柴]今晚來肝線搞~~童貞君來一起瑟瑟吧!![柴可CHAKO]","https://i.ytimg.com/vi/84EkEHHlEUE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBs95qbFBSIr2skDbEf-sQV2f36WA"
"5","https://www.youtube.com/channel/UCSnJ7To9jR42Xx3Puf1Ar6Q","Ness9s奈斯糖","6360","196423","216","237","http://youtu.be/M7TVUfLAEVQ","《Gang Start：異世界極道傳說》有病製作團隊新作！一起來闖蕩異世界吧✨｜Ness9s奈斯糖","https://i.ytimg.com/vi/M7TVUfLAEVQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBQ9eRf8deV0WOrspaXj3SpPvoi9Q","226","736","http://youtu.be/0LRsUSEO5HA","桜色 Sakurairo｜Ness9s奈斯糖×@kuki ch. 百目鬼九姫×@雜貓Zatsuneko ch. 稻源剎禰 (Official Music Video)【惡貓計畫】","https://i.ytimg.com/vi/0LRsUSEO5HA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCt1OgfQmfaHY-epe9WkklBfy_HIQ"
"6","https://www.youtube.com/channel/UC_soGpcb7SORsk5yzHLMdTQ","神稻櫻火","31000","994270","13573","14329","http://youtu.be/a1nxrN1QRJg","倒數一週🌸倒數的早安呱呱一樣唱歌給呱呱們聽🌸#神稻櫻火","https://i.ytimg.com/vi/a1nxrN1QRJg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDUNoW-xP5nTMF7tvQz4wIiFxAeyg","14750","70834","http://youtu.be/RGpihoVJms4","【重大告知】呱呱們來🌸#神稻櫻火","https://i.ytimg.com/vi/RGpihoVJms4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBdQo6nQN6GUiU9r803XY_maz7KbQ"
"7","https://www.youtube.com/channel/UClP316u-YpB3cbC2EZnFPSA","町田悠律","82","1311","30","30","http://youtu.be/V6BH_X-0bA8","【町田悠律】剛修好拜託不要CRASH!!!","https://i.ytimg.com/vi/V6BH_X-0bA8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLATbacv9doqZGOxerDFAi9jxGLz3Q","43","56","http://youtu.be/_Kk3_htnWTI","【町田悠律】我要偷渡離開台灣啦!!!","https://i.ytimg.com/vi/_Kk3_htnWTI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAVxzLry7imyhDrZ7Pqd6T9f3_tlg"
"8","https://www.youtube.com/channel/UCAZ6zbMz0DzJG4uTs9SOTog","飛鳥唯世","4750","111020","343","412","http://youtu.be/_GcKGRTmmj4","【 同時視聽 】JOJO第三季！「不滅鑽石」完全初見！ 【 飛鳥唯世 】","https://i.ytimg.com/vi/_GcKGRTmmj4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLClA60MIK-MsmpgPiSrbdGUHJ4jJQ","377","851","http://youtu.be/Uv5llomRVmc","【 明日方舟 】確診仔突發，聊聊天嗯哼嗯哼【 飛鳥唯世 】","https://i.ytimg.com/vi/Uv5llomRVmc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAlZYky0OVhq3X-BiQ-7G5Q-nK41w"
"9","https://www.youtube.com/channel/UCeHNz638cUC1slOTSfTo8RA","卡珥斯 懷特","62","1170","0","0","","","","25","41","http://youtu.be/dN-ZX10RLMM","APEX 我好久沒玩這遊戲ㄌ:0 Ft.QQ球","https://i.ytimg.com/vi/dN-ZX10RLMM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCpb0X_gut3ta0dUd_7XbfqXvJWRQ"
"10","https://www.youtube.com/channel/UCpe4hDlsZkl_R2BHw3hbUOQ","法托爾 懷特","140","2236","0","0","","","","56","60","http://youtu.be/OxaLsaQq68o","卡珥斯 LOL 列隊不會停 認真調心態","https://i.ytimg.com/vi/OxaLsaQq68o/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBJTBcwD3Z9iuNJirVETgslfgEv4g"
"11","https://www.youtube.com/channel/UCugedmKaBpXqBauc3Lu0oYw","柚香","468","3822","0","0","","","","51","51","http://youtu.be/wwZNBRm_Yms","【雜談】聊一下天!【柚香ゆずか/台灣Vtuber】","https://i.ytimg.com/vi/wwZNBRm_Yms/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBOAnZVX8Wm53MbENG5qTT2mPnWvQ"
"12","https://www.youtube.com/channel/UCYCUGetz4k-JpnQ8mtSQheA","諾海","2830","113327","305","347","http://youtu.be/p64sfxfsDB0","【魔物獵人】來來來 打工仔們給我滾進來!!!!","https://i.ytimg.com/vi/p64sfxfsDB0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCvRCG-EOZuwcq9qjd4JQ9O2WUbqw","332","1320","http://youtu.be/E1z7gHYbths","【雜談】嗨~孩子們我回來啦！！！","https://i.ytimg.com/vi/E1z7gHYbths/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDpzbpBwNb1s5m1GmA8bG1VR0kbHA"
"13","https://www.youtube.com/channel/UC03CZicbB2_5jgfk9nQDitw","咲荈","458","11064","0","0","","","","104","104","http://youtu.be/6Q02dGon0C8","【突】回來看看YT還安好嗎(x","https://i.ytimg.com/vi/6Q02dGon0C8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBiDRRGd_m1hFDl_2jajfgJvkPiWA"
"14","https://www.youtube.com/channel/UCCjBgAnakdBexWoUtDiOcIQ","山藥君","300","5809","32","65","http://youtu.be/Alp90DQBRpA","【壺男 / Getting Over It with Bennett Foddy】#10 飛上宇宙- 壺男進度(9/50)｜山藥君的遊戲時間","https://i.ytimg.com/vi/Alp90DQBRpA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDKdijzUPZ_5oyEtuQaJTFfE_895A","46","240","http://youtu.be/U-i56Fz17CE","【派對咖孔明】OP主題曲「チキチキバンバン」【踊ってみた】- chitty chitty bang bang with 3D Ver. 山藥君","https://i.ytimg.com/vi/U-i56Fz17CE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAMAYbANtYcxz1ZcjNzFHd-ayn4JQ"
"15","https://www.youtube.com/channel/UCRjr-pImfTwH3vDACscMOTg","夏月狼牙","165","622","0","0","","","","36","36","http://youtu.be/EN3LuebzzBA","恩？？摁！！恩↗↗恩↘↘","https://i.ytimg.com/vi/EN3LuebzzBA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBe73jglJC2cYXMYDozylNdIFHp6w"
"16","https://www.youtube.com/channel/UC9aEDaPpjShpsKN84fuWd6Q","荻諾斯","914","22155","130","130","http://youtu.be/BIsNooxga_g","【無畫面工作聊天台 || #恐龍歷險記 】因為恐龍想開台又想工作所以...【荻諾斯】","https://i.ytimg.com/vi/BIsNooxga_g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDl_i2F8XKkK2fNsNadq1x-N7LVVg","143","212","http://youtu.be/GYkjIXnNm1Y","【多人連動Among Us || #恐龍歷險記】空中頂獵再開okok！！【荻諾斯】","https://i.ytimg.com/vi/GYkjIXnNm1Y/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCIyNHzmqWWtDMiR9EDcBw0k2AY4w"
"17","https://www.youtube.com/channel/UCcMPUTP39sJhe7_EtvbNlQA","喬安娜喬納斯","1740","59164","203","385","http://youtu.be/MoOrCsOnSsc","【魔物獵人：崛起 破曉】狩獵解禁！【喬安娜喬納斯💙💖 JoannaJonas 】【Monster Hunter：Rise Sunbreak】","https://i.ytimg.com/vi/MoOrCsOnSsc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCm6Wxn0OIaPOGnb52Forpuex3J2Q","228","431","http://youtu.be/DVDQRReDRjs","【Sweet Transit DEMO】Steam新品節挖坑！來創造火車帝國！【喬安娜喬納斯💙💖 JoannaJonas 】","https://i.ytimg.com/vi/DVDQRReDRjs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAmrSboMnqGFK5qYdeD3fXFv3D0JQ"
"18","https://www.youtube.com/channel/UCQ8XcGqUl9omhe0L12t6d0g","六夢祈奈","204","2071","0","0","","","","97","97","http://youtu.be/wugL5IiB9b8","【近況雜談】3週不開台，又又又又又生病LA【兔兔夢話】","https://i.ytimg.com/vi/wugL5IiB9b8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLClO41g2z-uicCX0ZDAr4E3PMz0jg"
"19","https://www.youtube.com/channel/UCxWAL-c1psONO_DfG-cq2iA","李李鈴蘭","182000","14444267","25374","25374","http://youtu.be/GpTKD4crYa0","【狼要來吃棉花糖】百花糖！ #李李鈴蘭","https://i.ytimg.com/vi/GpTKD4crYa0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCtnzXX2MCXOjXgdnj-XKhwHh9S4g","47752","154586","http://youtu.be/QKzzg3MAJro","【歌回LA】本日有重大告知🐺｜singing stream & big news","https://i.ytimg.com/vi/QKzzg3MAJro/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCMVGE62oqtB1LviiQv4VH5WuT2LA"
